Code_postal,Code_commune,taux_absent_non_excuse,age_moyen,count
75001,75101,0.075757576,29.27272727,66
75002,75102,0.037735849,32.32075472,53
75003,75103,0.068965517,34.44827586,116
75004,75104,0.067547724,34.45937962,681
75005,75105,0.09063893,33.67166417,673
75006,75106,0.09,31.74,100
75007,75107,0.076086957,31.18478261,92
75008,75108,0.133333333,31.97777778,45
75009,75109,0.09009009,34.01801802,111
75010,75110,0.108870968,31.31854839,248
75011,75111,0.080272109,35.41904762,735
75012,75112,0.093912094,38.51261436,3663
75013,75113,0.077669903,35.16747573,1648
75014,75114,0.10298103,34.84552846,369
75015,75115,0.077694236,31.11779449,399
75016,75116,0.095238095,32.14880952,168
75017,75117,0.144486692,31.26996198,263
75018,75118,0.108465608,32.47883598,378
75019,75119,0.109865471,36.96860987,446
75020,75120,0.107858243,36.28659476,649
75022,0,0,35,5
75116,75116,0.072463768,30.56521739,69
75912,0,0.090909091,43.09090909,11
92000,92050,0.068965517,32.94252874,87
92100,92012,0.075949367,33.30379747,79
92110,92024,0.119047619,32.52380952,42
92120,92049,0.04109589,33.28767123,73
92130,92040,0.125,32.6,40
92140,92023,0.136363636,31.45454545,22
92150,92073,0.095238095,34.76190476,21
92160,92002,0.083333333,28.41666667,36
92170,92075,0.130434783,34.43478261,23
92190,92048,0.045454545,36,22
92200,92051,0.093023256,30.8372093,43
92210,92064,0.076923077,28.61538462,13
92220,92007,0.113207547,34.71698113,53
92230,92036,0.307692308,33.03846154,26
92240,92046,0.128205128,32.23076923,39
92250,92035,0.142857143,33.14285714,14
92260,92032,0.214285714,33.71428571,14
92270,92009,0.214285714,32.42857143,14
92290,92019,0.071428571,28.78571429,28
92300,92044,0.048780488,32.65853659,41
92310,92072,0.1,32.6,10
92320,92020,0.068965517,31.82758621,29
92330,92071,0.043478261,31.95652174,23
92340,92014,0.130434783,33.73913043,23
92350,92060,0.090909091,29.90909091,11
92360,92048,0,27.57142857,7
92370,92022,0.047619048,32.80952381,21
92380,92033,0,36.5,6
92390,92078,0.083333333,39.25,12
92400,92026,0.114754098,29.52459016,61
92420,92076,0,28,4
92500,92063,0.063829787,32.68085106,47
92600,92004,0.116666667,37.11666667,60
92700,92025,0.113636364,33.61363636,44
92800,92062,0.076923077,37.03846154,26
93000,93008,0.153846154,36.64615385,65
93100,93048,0.111587983,36.87553648,233
93110,93064,0.042553191,33.85106383,47
93120,93027,0.129032258,34.64516129,31
93130,93053,0.092592593,31.44444444,54
93140,93010,0.127659574,30.53191489,47
93150,93007,0.12,29.36,25
93160,93051,0.096153846,39.46153846,104
93170,93006,0.118421053,35.68421053,76
93190,93046,0.185185185,32.25925926,27
93200,93066,0.164383562,35.80821918,73
93210,93066,0.060606061,32.12121212,33
93220,93032,0.142857143,42.95238095,21
93230,93063,0.212765957,33.87234043,47
93240,93072,0.1875,28.9375,16
93250,93077,0.238095238,34.42857143,21
93260,93045,0.095238095,37.71428571,42
93270,93071,0.083333333,34.125,24
93290,93073,0.095238095,27.5,42
93300,93001,0.115789474,32.8,95
93310,93061,0.16,39.2,25
93320,93057,0.125,29.20833333,24
93330,93050,0.147058824,42.52941176,34
93340,93062,0,25.75,4
93350,93013,0,38.10526316,19
93360,93049,0.097560976,35.87804878,41
93370,93047,0,32.11111111,9
93380,93059,0.086956522,33.13043478,23
93390,93014,0.166666667,35.33333333,6
93400,93070,0.127659574,33.29787234,47
93410,93074,0,50,6
93420,93078,0.2,38.2,20
93430,93079,0.266666667,36.8,15
93460,93033,0,27.7,10
93470,93015,0,20.5,4
93500,93055,0.015873016,37.01587302,63
93600,93005,0.204081633,29.95918367,49
93700,93029,0.162790698,40.69767442,86
93800,93031,0.285714286,30.64285714,28
94000,94028,0.108974359,34.44871795,156
94100,94068,0.056603774,29.62264151,53
94110,94003,0.128205128,32.69230769,39
94120,94033,0.058252427,39.17475728,103
94130,94052,0.08988764,33.14606742,89
94140,94002,0.082840237,35.73964497,169
94160,94067,0.043478261,38.72826087,92
94170,94058,0,40.42105263,38
94190,94078,0.107142857,34.78571429,28
94200,94041,0.113207547,31.01132075,265
94210,94068,0.024390244,41.53658537,41
94220,94018,0.096385542,40.75903614,83
94230,94016,0.092307692,30.64615385,65
94240,94038,0.130434783,33.34782609,23
94250,94037,0.132075472,36.0754717,53
94260,94034,0.318181818,33.54545455,22
94270,94043,0.111111111,31.47222222,72
94290,94077,0.033333333,36.76666667,30
94300,94080,0.056,36.392,125
94310,94054,0.16,36.52,25
94320,94073,0.122807018,35.89473684,57
94340,94042,0.170731707,37.65853659,41
94350,94079,0.129032258,35.48387097,31
94360,94015,0.095238095,34.76190476,21
94370,94071,0.214285714,34.85714286,14
94380,94011,0.071428571,39.07142857,14
94400,94081,0.047120419,37.23036649,191
94410,94069,0.1,39.475,40
94420,94059,0.333333333,27.91666667,12
94430,94019,0,28.125,8
94440,94075,0.4,33.8,5
94450,94070,0.1,34,20
94460,94044,0.214285714,37.42857143,14
94470,94004,0.235294118,32.58823529,17
94480,94001,0,32,8
94500,94017,0.077669903,37.27184466,103
94510,94060,0.363636364,31.18181818,11
94520,0,0.4,35.4,5
94550,94021,0.24137931,32.37931034,29
94600,94022,0.111111111,33.32098765,81
94700,94046,0.06557377,39.3442623,122
94800,94076,0.07804878,34.49756098,205
